Pt-0-z,TRUE,161.7926597,342.4006474,86.11281024,161.2947374,342.9663502,91.62621753
Pt-1-x,TRUE,187.3927031,265.411362,135.1795665,190.0829943,269.8901515,131.2056607
Pt-2-y,TRUE,207.6969851,210.0793028,204.3880397,209.3229052,210.0793028,205.0815666
Pt-3-z,TRUE,70.91433725,316.9884926,151.3275885,65.34510158,306.978392,151.3275885
Pt-4-x,TRUE,230.5355505,300.859047,163.9907099,230.5355505,304.1756745,163.3273844
Pt-5-y,TRUE,98.87223406,359.5214375,126.3783061,100.8223124,357.4219189,127.6234117
Pt-6-z,TRUE,134.1655791,131.3194761,156.057777,134.8132137,130.6782395,151.0272514
Pt-7-x,TRUE,263.6586669,429.9391891,225.2368141,260.8096904,425.7243025,226.2958325
Pt-8-y,TRUE,104.4089971,196.1856461,190.3573527,104.6393853,196.1856461,190.8939237
Pt-9-z,TRUE,163.5247353,343.5744211,55.91496175,167.3117866,338.2513245,55.91496175
Pt-10-x,TRUE,202.1427855,260.637775,201.7728735,202.1427855,261.3368787,199.3782494
Pt-11-y,TRUE,152.1782436,354.7799811,33.02322403,152.4018698,350.8010669,33.20978759
Pt-12-z,TRUE,234.3383337,411.9769678,106.1905619,230.0408874,407.9572846,106.1905619
Pt-13-x,TRUE,79.91232944,231.4589817,121.9341027,79.91232944,224.2391125,125.8448652
Pt-14-y,TRUE,35.09405537,244.2189283,225.4453952,35.38306946,244.2189283,224.3808295
Pt-15-z,TRUE,162.2738393,182.09918,107.0614928,167.0143235,183.6410471,107.0614928
Pt-16-x,TRUE,89.67500752,347.935309,170.9166689,86.31768668,345.7962919,173.0548431
Pt-17-y,TRUE,185.7010998,141.4707405,179.4113982,183.2403489,142.1133082,179.4890385
Pt-18-z,TRUE,104.4975447,154.1573551,102.4588386,113.7013232,149.8921895,102.4588386
Pt-19-x,TRUE,174.6100678,293.4806659,210.9873834,174.6100678,287.9965398,210.7964673
Pt-20-y,TRUE,276.4872241,322.9484601,190.9857058,273.1266929,322.9484601,187.6110158
Pt-21-z,TRUE,172.1579172,436.4890205,176.8994313,173.8589136,437.9124842,177.8676515
Pt-22-x,TRUE,250.7224878,152.5428032,227.1107771,250.7224878,144.7169323,224.4901322
Pt-23-y,TRUE,111.7955558,278.2898116,124.7586984,120.3632727,278.2898116,118.5339514
Pt-24-z,TRUE,257.6207565,441.491777,167.7357038,259.5749038,437.6905124,167.7357038
Pt-25-x,TRUE,194.5721373,80.84581587,144.6685907,194.5721373,81.64671051,135.0372086
Pt-26-y,TRUE,263.7861428,365.6505526,157.1918864,263.3776524,365.6505526,158.0497584
Pt-27-z,TRUE,229.8838108,241.1813281,183.8535209,231.3224139,242.404044,181.4141826
Pt-28-x,TRUE,215.9673453,229.033684,141.4432242,218.3028637,230.9989506,145.2731439
Pt-29-y,TRUE,109.6117248,262.8525214,47.09908867,107.3076408,258.0164263,50.43409646
Pt-30-z,TRUE,62.60952052,355.8199405,108.893145,58.01738539,341.1726851,108.893145
Pt-31-x,TRUE,123.8005592,182.8009514,68.89262404,120.8752937,184.6292422,68.89262404
Pt-32-y,TRUE,106.413595,283.2040732,205.7007085,106.413595,279.8988412,204.0158269
Pt-33-z,TRUE,275.4633409,360.6427897,211.4380671,275.9510572,361.3162667,213.8974758
Pt-34-x,TRUE,200.2327775,396.712605,50.38466103,194.5185357,398.596014,50.38466103
Pt-35-y,TRUE,222.8812025,185.6283929,188.3167951,222.9084902,181.660416,186.947284
Pt-36-z,TRUE,217.6015665,297.6932297,194.1869447,220.6463362,298.2551861,190.8498207
Pt-37-x,TRUE,27.33952088,239.9148403,112.459119,29.51073674,238.232141,117.717132
Pt-38-y,TRUE,201.0507703,415.850123,208.4213174,201.0507703,405.4251681,216.753484
Pt-39-z,TRUE,258.6958719,172.2645864,227.2179972,262.6471588,172.2645864,223.7044157
Pt-40-x,TRUE,135.1427908,219.749396,82.26037207,147.0295596,220.838044,82.26037207
Pt-41-y,TRUE,149.8942408,104.7325962,222.4495621,147.5529205,110.7576299,219.7366987
Pt-42-z,TRUE,26.77917174,296.9535802,83.00278852,23.51100752,287.0771925,81.94806809
Pt-43-x,TRUE,189.2853509,250.9212966,140.8991262,192.9391685,253.8795483,138.9097687
Pt-44-y,TRUE,173.4982702,379.9579022,39.12408971,173.4490594,379.5707114,39.5156871
Pt-45-z,TRUE,139.7370411,437.7537419,207.7837418,136.8138535,436.1159122,211.0089129
Pt-46-x,TRUE,131.0897339,366.4682768,150.4365955,131.0897339,364.3469181,146.6652911
Pt-47-y,TRUE,58.60893017,334.526288,84.63062938,63.38009837,334.526288,88.44343851
Pt-48-z,TRUE,224.3921962,269.8107975,109.9585571,232.9386573,277.0441604,109.9585571
Pt-49-x,TRUE,155.6338796,182.9806074,57.91257989,155.6338796,182.1908142,58.65964851